readout,metric,treatment_variant,reference_variant,treatment_mean,reference_mean,difference,cohen_d,bootstrap_ci_low,bootstrap_ci_high,n_treatment,n_reference
final,total_payoff,affect,no_affect,1185.8833333333334,1172.1333333333334,13.75,0.17682072742296656,-25.18375,53.23708333333328,30,30
final,mean_q_pi_entropy,affect,no_affect,8.360413026228095,8.735450198718999,-0.3750371724909028,-0.7411749668850409,-0.6241771996562154,-0.14073095567246013,30,30
final,mean_joint_accuracy,affect,no_affect,0.3722222222222223,0.2663888888888889,0.10583333333333332,0.6129440698560348,0.03388194444444446,0.18500000000000003,30,30
final,mean_accuracy,affect,no_affect,0.5097222222222223,0.4166666666666667,0.09305555555555554,0.3299134608080032,-0.03472222222222223,0.2188958333333333,30,30
betrayal_reallocation,reencounters,affect,no_affect,5.666666666666667,1.3333333333333333,4.333333333333333,0.5651268652709174,0.9666666666666667,8.033333333333333,30,30
betrayal_reallocation,mean_payoff_on_reencounter,affect,no_affect,9.367253924928557,8.10989010989011,1.0024038461538467,1.2230828429038225,1.0024038461538467,1.0024038461538467,1,1
betrayal_misdeployment,wrong_type_rate,affect,no_affect,0.14938271604938272,0.16517857142857142,0.03493589743589744,0.1109651629685839,-0.04743589743589744,0.12854967948717916,26,26
betrayal_misdeployment,low_entropy_rate,affect,no_affect,0.3127572016460905,0.2694869614512472,0.04226190476190477,0.12531488356480366,-0.07409378815628814,0.15481341575091567,26,26
betrayal_misdeployment,overconfident_wrong_type_rate,affect,no_affect,0.0,0.03571428571428571,-0.019230769230769232,-0.20358789127586713,-0.057692307692307696,0.0,26,26
