variant_id,seed,beta_mean,beta_std,beta_range,beta_lag1_autocorr,mean_q_pi_entropy,partner_selection_entropy,action_flip_rate,total_payoff
affect,42,0.933061027975288,0.06201848611087802,0.6364382012935608,0.9322444354831022,8.358046541595117,0.9046294990471127,0.8319327731092437,1178.5
affect,43,1.0753133165571072,0.05744273634623027,0.6814243819596912,0.9376770373302837,8.373800954756309,0.7228468832819384,0.7563025210084033,1171.0
affect,44,0.8573687403446283,0.1492657317133607,0.9101592613721012,0.9877125534455335,8.01600165779214,1.326930096605753,0.7899159663865546,1225.0
affect,45,1.023757157049347,0.02883573484128818,0.5148796200016919,0.8719663341373841,8.344942966787736,0.480933998367461,0.8067226890756303,1119.5
affect,46,0.9823894210519346,0.03226227908566708,0.6136875431543443,0.8578176369827748,8.588541701344548,1.093753419466918,0.8151260504201681,1147.5
low_gain,42,1.0411168784765956,0.019736434168085463,0.10166785472173889,0.9969992890187869,8.686682748671604,0.6477850000260723,0.8151260504201681,1282.0
low_gain,43,1.063579803607207,0.017073065031148665,0.13391042407820763,0.9960518372396042,8.495331941720165,0.7629248236094983,0.773109243697479,1187.5
low_gain,44,1.069905555512534,0.01975487345849804,0.13163270961164097,0.9974771709178116,8.871255597486545,1.0307219415067501,0.7899159663865546,1240.5
low_gain,45,1.0897869792143833,0.02665599579217581,0.1463292561957119,0.999429278277222,8.89943393559173,1.0498092862099166,0.7563025210084033,1129.5
low_gain,46,1.0569167311443781,0.013208058769282122,0.14426774516813645,0.9948192719918179,8.96972678676287,0.8316601377252423,0.8907563025210085,1242.0
high_gain,42,0.6616680434703426,0.18601866208012524,1.0407509601968226,0.987184805718252,7.3961505364938605,1.1129235173621355,0.6302521008403361,1313.5
high_gain,43,1.0014617422469607,0.11390601598491255,1.2128813894880932,0.9204154519384663,8.33030341609997,1.0203304041821661,0.773109243697479,1113.5
high_gain,44,1.0532821809980732,0.16283401784974225,1.2973316019855836,0.9553178651277427,8.340190222298814,1.1225410835284106,0.8571428571428571,1132.5
high_gain,45,0.99083493563039,0.06943245032423569,1.1738709630034876,0.7959646865932971,8.282085708334261,0.887076291191112,0.7899159663865546,1140.0
high_gain,46,0.6113316432080004,0.13346474199061398,0.8445159600393327,0.9698141600454753,7.847621437873984,1.1896767613763464,0.7226890756302521,1285.0
cautious_prior,42,1.5338121127247426,0.22393630983232352,1.1039428534022893,0.9980487201324003,9.132603266862462,1.2485583515347836,0.7983193277310925,1164.5
cautious_prior,43,1.571311196688711,0.20296308543622577,0.8860538396890782,0.9980802109399777,9.125757797180826,1.224170849051991,0.8403361344537815,1113.5
cautious_prior,44,1.3135429879232514,0.3684380464312598,1.4053681785413181,0.9974478952081347,8.804274476744865,1.368189163990338,0.8319327731092437,1160.5
cautious_prior,45,1.4296657408655942,0.2667602287418199,1.0985018085690759,0.997334973721031,8.968929165675528,1.3268210510837457,0.7815126050420168,1149.5
cautious_prior,46,1.536703288268996,0.18783261818915678,0.9613149984431948,0.9955566254226629,9.223259745836037,1.2136900837634463,0.8151260504201681,1162.5
