variant_id,seed,switch_round,switched_partner,post_window,pre_selection_entropy,post_selection_entropy,switched_post_encounters,untouched_post_encounters,switched_post_mean_payoff,untouched_post_mean_payoff,switched_post_mean_entropy,untouched_post_mean_entropy,untouched_selection_rate
no_affect,910,50,0,10,1.177093028397123,1.0296530140645737,3,7,9.666666666666666,9.142857142857142,8.12181517555886,8.09325182739702,0.7
no_affect,911,50,0,10,1.371763643983082,1.2798542258336674,2,8,9.0,9.6875,8.221998200906365,8.167202850927675,0.8
no_affect,912,50,0,10,1.3058222406852815,1.0888999753452235,6,4,9.583333333333334,9.5,8.172880653064198,8.195031715886255,0.4
local_beta,910,50,0,10,1.274511124578978,1.1682824501765625,3,7,8.333333333333334,9.285714285714286,8.42983464879052,8.42726112919179,0.7
local_beta,911,50,0,10,1.371763643983082,1.0296530140645737,3,7,8.0,9.928571428571429,8.212301345151886,8.189459899648673,0.7
local_beta,912,50,0,10,1.3189539810092943,1.0888999753452235,6,4,9.25,9.875,8.127735618736134,8.131621493218676,0.4
tracked_only,910,50,0,10,1.177093028397123,1.0296530140645737,3,7,9.666666666666666,9.142857142857142,8.12181517555886,8.09325182739702,0.7
tracked_only,911,50,0,10,1.371763643983082,1.2798542258336674,2,8,9.0,9.6875,8.221998200906365,8.167202850927675,0.8
tracked_only,912,50,0,10,1.3058222406852815,1.0888999753452235,6,4,9.583333333333334,9.5,8.172880653064198,8.195031715886255,0.4
global_beta,910,50,0,10,1.061535829529878,0.9502705392332347,6,4,10.083333333333334,9.25,7.710761147231044,7.604372508636821,0.4
global_beta,911,50,0,10,1.3610744131964374,1.0888999753452238,3,7,8.333333333333334,9.714285714285714,8.313241862446809,8.275655497480418,0.7
global_beta,912,50,0,10,1.2466369841052547,0.639031859650177,8,2,10.625,10.0,7.672341024149665,8.063269389275234,0.2
